lab	ant	ATCC49226	stam0005	stam0008	stam0010	stam0802	stam0902	stam0903	stam0904	stam0909	stam0910	agar
3	cef	0.0625	0.03125	0.125	0.03125	0.015625	<0.001953125	0.25	0.5	0.03125	0.03125	c
4	cef	0.0625	0.015625	0.25	0.0625	0.03125	0.001953125	0.25	0.25	0.015625	0.03125	o
5	cef	0.001953125	0.015625	0.125	0.25	0.125	0.0078125	2	2	0.125	0.125	o
6	cef	0.015625	0.015625	0.0625	0.0078125	0.0625	<0.001953125	0.25	0.5	0.5	0.0625	g
7	cef	0.03125	0.015625	0.0625	0.015625	0.015625	0.001953125	0.5	0.25	0.015625	0.0625	g
9	cef	0.0625	0.03125	0.125	0.03125	0.015625	0.0078125	0.25	0.25	0.015625	0.03125	g
10	cef	0.0625	0.03125	0.015625	0.015625	0.03125	<0.001953125	0.5	1	0.0625	0.0625	c
11	cef	0.03125	0.015625	0.25	0.03125	0.03125	0.0078125	0.25	0.0625	0.03125	0.0625	o
12	cef	0.0625	0.03125	0.125	0.015625	0.03125	<0.001953125	0.25	0.25	0.0625	0.03125	o
13	cef	0.0625	0.0625	0.5	0.0625	0.03125	0.00390625	0.5	0.5	0.03125	0.25	g
14	cef	0.0625	0.03125	0.125	0.03125	0.015625	<0.001953125	0.25	0.5	0.0625	0.0625	c
15	cef	0.0625	0.03125	0.125	0.03125	0.03125	0.00390625	0.5	0.25	0.015625	0.03125	o
16	cef	0.0625	0.0625	0.25	0.0625	0.03125	0.001953125	0.5	0.5	0.03125	0.03125	c
17	cef	0.0625	0.03125	0.25	0.03125	0.03125	0.001953125	0.5	0.25	0.125	0.03125	o
18	cef	0.0625	0.125	0.25	0.125	0.0625	0.001953125	1	0.5	0.0625	0.125	g
19	cef	0.03125	0.03125	0.0078125	0.015625	0.03125	0.001953125	0.125	0.25	0.03125	0.03125	c
20	cef	0.03125	0.03125	0.0625	0.03125	0.0078125	<0.001953125	0.0625	0.125	0.015625	0.0078125	g
3	cip	<0.001953125	1	0.125	0.0625	0.0625	<0.001953125	>32	>32	1	0.015625	c
4	cip	<0.001953125	1	0.25	0.125	0.0625	<0.001953125	>32	>32	1	0.00390625	o
5	cip	0.03125	1	0.25	0.0625	0.125	0.0078125	>32	>32	1	0.015625	o
6	cip	<0.001953125	2	0.25	0.125	0.0625	<0.001953125	0.001953125	>32	1	0.0078125	g
7	cip	<0.001953125	1	0.125	0.0625	0.125	0.00390625	>32	32	1	0.0078125	g
9	cip	<0.001953125	1	0.125	0.0625	0.0625	<0.001953125	>32	>32	2	0.0078125	g
10	cip	0.001953125	1	0.125	0.125	0.125	0.00390625	>32	>32	2	0.0078125	c
11	cip	<0.001953125	1	0.25	0.125	0.125	0.00390625	>32	8	2	0.0078125	o
12	cip	0.00390625	1	0.25	0.125	0.125	0.00390625	>32	32	1	0.0078125	o
13	cip	0.00390625	2	0.5	0.125	0.125	0.00390625	>32	32	1	0.0078125	g
14	cip	0.001953125	1	0.125	0.0625	0.125	0.001953125	>32	>32	1	0.0078125	c
15	cip	<0.001953125	1	0.25	0.0625	0.125	0.00390625	>32	>32	1	0.0078125	o
16	cip	<0.001953125	1	0.25	0.0625	0.0625	<0.001953125	32	32	1	0.00390625	c
17	cip	0.00390625	1	0.5	0.125	0.125	0.00390625	>32	>32	2	0.0078125	o
18	cip	0.0078125	2	0.5	0.25	0.125	0.0078125	>32	>32	4	0.015625	g
19	cip	<0.001953125	0.25	0.0625	0.03125	0.03125	<0.001953125	16	4	0.5	0.00390625	c
20	cip	0.001953125	0.5	0.0625	0.03125	0.015625	<0.001953125	32	8	0.5	0.00390625	g
3	pen	0.5	>32	1	0.5	0.25	0.0078125	1	1	16	32	c
4	pen	0.5	16	1	0.5	0.25	0.0078125	0.5	1	8	16	o
5	pen	0.5	>32	0.5	0.5	>32	16	>32	>32	4	16	o
6	pen	0.125	4	0.5	0.125	0.5	0.03125	1	4	>32	>32	g
7	pen	0.5	16	1	0.5	0.25	0.03125	2	4	8	>32	g
9	pen	1	8	1	0.25	0.5	0.015625	2	2	>32	>32	g
10	pen	0.5	>32	0.25	0.25	4	0.25	32	32	>32	>32	c
11	pen	0.25	>32	0.25	0.5	0.5	0.0625	1	1	>32	>32	o
12	pen	0.5	>32	0.5	0.25	0.5	0.015625	2	2	>32	16	o
13	pen	1	>32	2	1	1	0.03125	2	8	>32	>32	g
14	pen	0.5	16	1	0.5	0.5	0.015625	2	2	>32	>32	c
15	pen	0.5	16	0.5	0.5	1	0.03125	4	4	16	32	o
16	pen	0.5	32	1	0.5	0.5	0.015625	2	2	32	32	c
17	pen	0.5	>32	1	0.25	0.5	0.125	2	4	>32	>32	o
18	pen	0.5	>32	1	0.5	0.5	0.015625	4	4	>32	>32	g
19	pen	0.25	16	1	0.5	0.5	0.03125	1	2	>32	2	c
20	pen	0.25	8	0.5	0.25	0.25	0.0078125	0.5	1	32	32	g
3	tet	0.25	1	0.5	16	16	0.125	4	2	2	2	c
4	tet	0.5	1	0.5	32	32	0.5	2	1	2	1	o
