stam	ant	MIC	upper	lower	se.log.MIC.naive	E.log.MIC.naive	mode.log.MIC	upper.log.MIC.naive	lower.log.MIC.naive	upper.log.MIC	lower.log.MIC	E.log.MIC	upper.log.MIC.ref	lower.log.MIC.ref	log.MIC.ref	MIC.hanjan.upper	MIC.hanjan.lower	MIC.hanjan	MIC.unemo.upper	MIC.unemo.lower	MIC.unemo
ATCC49226	cip	0.001953125	-9	-100	0.258923777377338	-8.97058823529412	-9	-8.46309763163454	-9.4780788389537	-8.69995	-10.23	-9.442669	-8	-9	-8	0.00240466227011378	0.000832651261492145	0.00143705500592723	0.001953125	7.88860905221012e-31	0.001953125
strain0005	cip	1	0	-1	0.171498585142509	-0.5	0	-0.163862773120683	-0.836137226879318	0.186175	-1.25605	-0.500991	1	0	1	1.13774322861698	0.418688732857024	0.706621230060235	1	0.5	1
strain0008	cip	0.25	-2	-3	0.2259160514079	-2.85294117647059	-2	-2.4101457157111	-3.29573663723007	-2.15175	-3.5601	-2.858174	-2	-3	-2	0.225039475439274	0.0847818936287531	0.137912583195185	0.25	0.125	0.25
strain0010	cip	0.0625	-4	-5	0.192865838950059	-4.08823529411765	-4	-3.71021824977553	-4.46625233845976	-3.37085	-4.7881	-4.079641	-3	-4	-3	0.0966658422078419	0.0361941413199318	0.0591433183031218	0.0625	0.03125	0.0625
strain0802	cip	0.125	-3	-4	0.211069119035402	-4.08823529411765	-3	-3.67453982080826	-4.50193076742704	-3.392	-4.818075	-4.076548	-3	-4	-3	0.0952590518962356	0.0354498909569476	0.0592702519315293	0.125	0.0625	0.125
strain0902	cip	0.001953125	-9	-100	0.170232895629268	-8.85294117647059	-9	-8.51928470103723	-9.18659765190396	-8.51482	-9.9970875	-9.26078135182	-8	-9	-8	0.00273390722247755	0.000978535967084203	0.0016301479787154	0.001953125	7.88860905221012e-31	0.001953125
strain0903	cip	32	100	5	0.878176389813742	4.38235294117647	5	6.1035786652114	2.66112721714153	5.6132	3.98945	4.847731	100	5	5	48.9487461589972	15.8834235199942	28.7946922926421	1.26765060022823e+30	32	32
strain0904	cip	32	100	5	0.311958874052889	4.67647058823529	5	5.28790998137895	4.06503119509163	5.950025	4.29585	5.089131	100	5	5	61.8209963181407	19.6417286451471	34.0393362416207	1.26765060022823e+30	32	32
strain0909	cip	1	0	-1	0.182495200676336	-0.264705882352941	0	0.0929847109726776	-0.62239647567856	0.411075	-0.998224999999999	-0.259846	1	0	1	1.32967623098478	0.500615546709814	0.83517706536709	1	0.5	1
strain0910	cip	0.0078125	-7	-8	0.159746771929415	-7.55882352941177	-7	-7.24571985643011	-7.87192720239342	-6.86175	-8.272125	-7.5703856	-7	-8	-7	0.00859819771071098	0.0032347613629811	0.00526122476441115	0.0078125	0.00390625	0.0078125
ATCC49226	pen	0.5	-1	-2	0.176470588235294	-1.67647058823529	-1	-1.33058823529412	-2.02235294117647	-0.937750000000001	-2.381025	-1.684205	-1	-2	-1	0.522046419624196	0.191972957046091	0.311174339332653	0.5	0.25	0.5
strain0005	pen	32	100	5	0.326854570160189	4.26470588235294	5	4.90534083986691	3.62407092483897	5.278025	3.74785	4.5270684	100	2	2	38.8010825756747	13.4343070216848	23.0559690682031	1.26765060022823e+30	32	32
